datacreationdate,sitename,county,aqi,baseline,z_score,spike_strength
2026-03-07 15:00:00,竹山,南投縣,75,40.958333333333336,,34.041666666666664
2026-03-07 14:00:00,沙鹿,臺中市,79,50.75,,28.25
2026-03-07 14:00:00,中壢,桃園市,97,63.333333333333336,,33.666666666666664
2026-03-07 14:00:00,竹山,南投縣,65,40.125,,24.875
2026-03-07 14:00:00,麥寮,雲林縣,100,61.041666666666664,,38.958333333333336
2026-03-07 13:00:00,沙鹿,臺中市,76,49.208333333333336,,26.791666666666664
2026-03-07 13:00:00,中壢,桃園市,96,61.208333333333336,,34.791666666666664
2026-03-07 12:00:00,沙鹿,臺中市,72,47.833333333333336,,24.166666666666664
2026-03-07 09:00:00,頭份,苗栗縣,69,45.791666666666664,,23.208333333333336
2026-03-07 08:00:00,頭份,苗栗縣,68,45.208333333333336,,22.791666666666664
2026-03-07 05:00:00,冬山,宜蘭縣,57,37.125,,19.875
2026-03-07 05:00:00,湖口,新竹縣,62,41.083333333333336,,20.916666666666664
2026-03-07 04:00:00,冬山,宜蘭縣,55,36.041666666666664,,18.958333333333336
2026-03-07 03:00:00,冬山,宜蘭縣,53,35.083333333333336,,17.916666666666664
2026-03-06 20:00:00,南投（鹿谷）,南投縣,53,33.791666666666664,,19.208333333333336
2026-03-06 19:00:00,南投（鹿谷）,南投縣,55,32.833333333333336,,22.166666666666664
2026-03-06 04:00:00,頭份,苗栗縣,73,46.25,,26.75
2026-03-06 03:00:00,士林,臺北市,57,37.583333333333336,,19.416666666666664
2026-03-06 03:00:00,頭份,苗栗縣,76,44.291666666666664,,31.708333333333336
2026-03-06 02:00:00,龍潭,桃園市,94,55.958333333333336,,38.041666666666664
2026-03-06 02:00:00,林口,新北市,55,35.75,,19.25
2026-03-06 02:00:00,頭份,苗栗縣,76,42.625,,33.375
2026-03-06 01:00:00,中壢,桃園市,95,62.083333333333336,,32.916666666666664
2026-03-06 01:00:00,龍潭,桃園市,97,53.208333333333336,,43.791666666666664
2026-03-06 01:00:00,頭份,苗栗縣,78,41.166666666666664,,36.833333333333336
2026-03-06 00:00:00,中壢,桃園市,102,59.125,,42.875
2026-03-06 00:00:00,頭份,苗栗縣,74,39.875,,34.125
2026-03-06 00:00:00,龍潭,桃園市,99,50.375,,48.625
2026-03-06 00:00:00,菜寮,新北市,61,36.458333333333336,,24.541666666666664
2026-03-05 23:00:00,中壢,桃園市,99,56.291666666666664,,42.708333333333336
2026-03-05 23:00:00,龍潭,桃園市,101,47.458333333333336,,53.541666666666664
2026-03-05 23:00:00,頭份,苗栗縣,73,38.5,,34.5
2026-03-05 22:00:00,龍潭,桃園市,97,44.708333333333336,,52.291666666666664
2026-03-05 22:00:00,潮州,屏東縣,135,85.16666666666667,,49.83333333333333
2026-03-05 22:00:00,中壢,桃園市,98,53.583333333333336,,44.416666666666664
2026-03-05 22:00:00,沙鹿,臺中市,68,45.166666666666664,,22.833333333333336
2026-03-05 22:00:00,頭份,苗栗縣,70,36.958333333333336,,33.041666666666664
